ColHeaders Index Label
1 4 Left-Lateral-Ventricle
2 5 Left-Inf-Lat-Vent
3 7 Left-Cerebellum-White-Matter
4 8 Left-Cerebellum-Cortex
5 10 Left-Thalamus-Proper
6 11 Left-Caudate
7 12 Left-Putamen
8 13 Left-Pallidum
9 14 3rd-Ventricle
10 15 4th-Ventricle
11 16 Brain-Stem
12 17 Left-Hippocampus
13 18 Left-Amygdala
14 24 CSF
15 26 Left-Accumbens-area
16 28 Left-VentralDC
17 30 Left-vessel
18 31 Left-choroid-plexus
19 43 Right-Lateral-Ventricle
20 44 Right-Inf-Lat-Vent
21 46 Right-Cerebellum-White-Matter
22 47 Right-Cerebellum-Cortex
23 49 Right-Thalamus-Proper
24 50 Right-Caudate
25 51 Right-Putamen
26 52 Right-Pallidum
27 53 Right-Hippocampus
28 54 Right-Amygdala
29 58 Right-Accumbens-area
30 60 Right-VentralDC
31 62 Right-vessel
32 63 Right-choroid-plexus
33 72 5th-Ventricle
34 77 WM-hypointensities
35 78 Left-WM-hypointensities
36 79 Right-WM-hypointensities
37 80 non-WM-hypointensities
38 81 Left-non-WM-hypointensities
39 82 Right-non-WM-hypointensities
40 85 Optic-Chiasm
41 251 CC_Posterior
42 252 CC_Mid_Posterior
43 253 CC_Central
44 254 CC_Mid_Anterior
45 255 CC_Anterior
