Importance,Markers
0.4133028291416629,Beta-2-Microglobulin (B2M) (ug/mL)
0.16288384974232725,T-Cell-Specific Protein RANTES (RANTES) (ng/mL)
0.11447205075830003,Platelet-Derived Growth Factor BB (PDGF- (pg/ml)
0.10182622736588581,Brain-Derived Neurotrophic Factor (BDNF) (ng/mL)
0.015676018823202197,Growth-Regulated alpha protein (GRO-alph (pg/mL)
0.014687264174774246,Epithelial-Derived Neutrophil-Activating (ng/mL)
0.011724056013961771,Epidermal Growth Factor (EGF) (pg/mL)
0.010061209441662304,Thrombospondin-1 (ng/mL)
0.006381301419671306,Plasminogen Activator Inhibitor 1 (PAI-1 (ng/mL)
0.006235885840796488,CD40 Ligand (CD40-L) (ng/mL)
0.005548738911510591,Cystatin-C (ng/ml)
0.005297832894201914,Tumor Necrosis Factor Receptor-Like 2 (T (ng/mL)
0.004165977607021589,Tissue Inhibitor of Metalloproteinases 1 (ng/mL)
0.002705294701694,Superoxide Dismutase 1- Soluble (SOD-1) (ng/mL)
0.0026597379419140113,Stem Cell Factor (SCF) (pg/mL)
0.002274397160526475,Thrombopoietin (ng/mL)
0.0022533830431962004,Alpha-1-Antitrypsin (AAT) (mg/mL)
0.002149038518484356,Vascular Cell Adhesion Molecule-1 (VCAM- (ng/mL)
0.0020709499818189173,CD 40 antigen (CD40) (ng/mL)
0.0019965782931143927,Hepatocyte Growth Factor (HGF) (ng/mL)
0.0019751951658366,Monokine Induced by Gamma Interferon (MI (pg/ml)
0.0019673188219875627,Fatty Acid-Binding Protein- heart  (FABP (ng/mL)
0.0019292522104601318,Trefoil Factor 3 (TFF3) (ug/ml)
0.001811309834464262,Thrombomodulin (TM) (ng/ml)
0.001751938050334255,Serum Amyloid P-Component (SAP) (ug/mL)
0.001701908600071788,Vascular Endothelial Growth Factor (VEGF (pg/mL)
0.0016591818419853341,Macrophage Migration Inhibitory Factor ( (ng/mL)
0.0016353352174295036,Myoglobin (ng/mL)
0.0015990848467227659,TNF-Related Apoptosis-Inducing Ligand Re (ng/mL)
0.0015831042655688387,Neutrophil Gelatinase-Associated Lipocal (ng/ml)
0.001471052220459049,Prostatic Acid Phosphatase (PAP) (ng/mL)
0.00143497187199308,Matrix Metalloproteinase-7 (MMP-7) (ng/ml)
0.0014083453601501786,Resistin (ng/ml)
0.0013829578951214635,Glutathione S-Transferase alpha (GST-alp (ng/ml)
0.001358495593644002,Tamm-Horsfall Urinary Glycoprotein (THP) (ug/ml)
0.0013381361717134527,AXL Receptor Tyrosine Kinase (AXL) (ng/mL)
0.0013233322072522175,Monocyte Chemotactic Protein 2 (MCP-2) (pg/ml)
0.001298611220848456,Epidermal Growth Factor Receptor (EGFR) (ng/mL)
0.0012842772884312295,Interferon gamma Induced Protein 10 (IP- (pg/ml)
0.001278305779112301,Interleukin-8 (IL-8) (pg/mL)
0.0012229540943822339,Heparin-Binding EGF-Like Growth Factor ( (pg/mL)
0.0011813837699534593,Adiponectin (ug/mL)
0.0011762801124641316,CD5 (CD5L) (ng/ml)
0.0011672857562307975,Chromogranin-A (CgA) (ng/mL)
