Importance,Markers
0.35950376345035806,Beta-2-Microglobulin (B2M) (ug/mL)
0.18631481603236089,T-Cell-Specific Protein RANTES (RANTES) (ng/mL)
0.13617105060706752,Platelet-Derived Growth Factor BB (PDGF- (pg/ml)
0.12036149528220266,Brain-Derived Neurotrophic Factor (BDNF) (ng/mL)
0.015979638239880425,Growth-Regulated alpha protein (GRO-alph (pg/mL)
0.015324344977358486,Epithelial-Derived Neutrophil-Activating (ng/mL)
0.011513463982662566,Epidermal Growth Factor (EGF) (pg/mL)
0.010616646705798604,Thrombospondin-1 (ng/mL)
0.0062491559594882945,Plasminogen Activator Inhibitor 1 (PAI-1 (ng/mL)
0.006022533674244361,CD40 Ligand (CD40-L) (ng/mL)
0.005078595231380316,Cystatin-C (ng/ml)
0.004760927660273862,Tumor Necrosis Factor Receptor-Like 2 (T (ng/mL)
0.004055495296097558,Tissue Inhibitor of Metalloproteinases 1 (ng/mL)
0.002744799964433708,Superoxide Dismutase 1- Soluble (SOD-1) (ng/mL)
0.002617418343751598,Stem Cell Factor (SCF) (pg/mL)
0.0021962999753928686,Alpha-1-Antitrypsin (AAT) (mg/mL)
0.0021139599870865695,Thrombopoietin (ng/mL)
0.0018644600592296536,Hepatocyte Growth Factor (HGF) (ng/mL)
0.0018591659880255473,Vascular Cell Adhesion Molecule-1 (VCAM- (ng/mL)
0.0018460900987210156,CD 40 antigen (CD40) (ng/mL)
0.0018264782283143272,Monokine Induced by Gamma Interferon (MI (pg/ml)
0.001821275207782726,Fatty Acid-Binding Protein- heart  (FABP (ng/mL)
0.0017826153978912978,Trefoil Factor 3 (TFF3) (ug/ml)
0.0016858810893441846,Thrombomodulin (TM) (ng/ml)
0.0015968151471833119,Serum Amyloid P-Component (SAP) (ug/mL)
0.001585175395582011,Vascular Endothelial Growth Factor (VEGF (pg/mL)
0.0015504921514482265,Macrophage Migration Inhibitory Factor ( (ng/mL)
0.0015143101432755215,Myoglobin (ng/mL)
0.0014838419191716828,Neutrophil Gelatinase-Associated Lipocal (ng/ml)
0.001454389596927598,TNF-Related Apoptosis-Inducing Ligand Re (ng/mL)
0.0013842490635433199,Matrix Metalloproteinase-7 (MMP-7) (ng/ml)
0.001350315894238972,Prostatic Acid Phosphatase (PAP) (ng/mL)
0.0012965277635848293,Resistin (ng/ml)
0.001289906318601413,Tamm-Horsfall Urinary Glycoprotein (THP) (ug/ml)
0.0012792683658198439,AXL Receptor Tyrosine Kinase (AXL) (ng/mL)
