,aggR,pval,name
0,24.0,3.1565365375230614e-67,Beta-2-Microglobulin (B2M) (ug/mL)
1,45.0,2.3408278146569314e-55,Cystatin-C (ng/ml)
2,121.0,1.648131346644238e-50,T-Cell-Specific Protein RANTES (RANTES) (ng/mL)
3,25.0,3.2761311670522806e-44,Brain-Derived Neurotrophic Factor (BDNF) (ng/mL)
4,113.0,7.443146219763102e-44,Platelet-Derived Growth Factor BB (PDGF- (pg/ml)
5,62.0,4.311953334560296e-41,Growth-Regulated alpha protein (GRO-alph (pg/mL)
6,34.0,2.173516901045566e-40,CD40 Ligand (CD40-L) (ng/mL)
7,46.0,1.4783031346736267e-39,Epidermal Growth Factor (EGF) (pg/mL)
8,60.0,1.953403318929145e-39,Follicle-Stimulating Hormone (FSH) (mIU/mL)
9,132.0,2.060392874692367e-39,Trefoil Factor 3 (TFF3) (ug/ml)
10,135.0,9.602284207844848e-39,Tissue Inhibitor of Metalloproteinases 1 (ng/mL)
11,48.0,3.2564897240662327e-38,Epithelial-Derived Neutrophil-Activating (ng/mL)
12,4.0,1.2993299933127196e-37,Alpha-1-Microglobulin (A1Micro) (ug/ml)
13,84.0,4.511068393457627e-35,Luteinizing Hormone  (LH) (mIU/mL)
14,173.0,5.64402241236423e-35,Kynurenine
15,22.0,4.903009765491155e-32,Apolipoprotein H (Apo H) (ug/mL)
16,146.0,7.169444600881918e-32,Vascular Endothelial Growth Factor (VEGF (pg/mL)
17,106.0,1.083645977699466e-29,Neutrophil Gelatinase-Associated Lipocal (ng/ml)
18,131.0,1.5191750358666836e-29,Testosterone- Total (ng/ml)
19,109.0,5.203696029968146e-29,Plasminogen Activator Inhibitor 1 (PAI-1 (ng/mL)
20,136.0,1.0200325576090555e-28,Thrombomodulin (TM) (ng/ml)
21,134.0,7.501785231115838e-27,Thrombospondin-1 (ng/mL)
22,162.0,1.8773947215870863e-24,Isoleucine
23,43.0,1.3700858117871394e-23,C-peptide (ng/ml)
24,148.0,1.659128918342074e-23,Vitamin K-Dependent Protein S (VKDPS) (ug/ml)
25,105.0,2.92581355402816e-23,Myoglobin (ng/mL)
26,67.0,7.367716055892044e-23,Hepatocyte Growth Factor (HGF) (ng/mL)
27,124.0,1.327365434796744e-22,Stem Cell Factor (SCF) (pg/mL)
28,139.0,1.9368935912259008e-22,Tumor Necrosis Factor Receptor-Like 2 (T (ng/mL)
29,18.0,2.619314854492071e-21,Apolipoprotein C-I (Apo C-I) (ng/ml)
30,150.0,5.0158941696904195e-21,HCAMPLAS
31,123.0,8.883607961783168e-21,Serum Amyloid P-Component (SAP) (ug/mL)
32,172.0,1.0040288302477611e-20,Valine
33,33.0,4.9519643056867136e-20,CD 40 antigen (CD40) (ng/mL)
34,127.0,5.071554013855145e-20,Superoxide Dismutase 1- Soluble (SOD-1) (ng/mL)
35,52.0,1.4754648348314252e-19,Fatty Acid-Binding Protein- heart  (FABP (ng/mL)
36,145.0,3.621371663044108e-19,Vascular Cell Adhesion Molecule-1 (VCAM- (ng/mL)
37,92.0,1.5254269698975864e-18,Macrophage Migration Inhibitory Factor ( (ng/mL)
38,39.0,3.913388022530149e-18,Clusterin (CLU) (ug/ml)
39,142.0,1.1406328710589503e-17,Serotransferrin (Transferrin) (mg/dl)
40,14.0,1.3581625152256756e-17,Apolipoprotein A-I (Apo A-I) (mg/mL)
41,9.0,1.3937872580237405e-17,Adiponectin (ug/mL)
42,93.0,1.8171745362116163e-17,Monokine Induced by Gamma Interferon (MI (pg/ml)
43,118.0,1.5380288080631182e-16,Proinsulin- Total (pM)
44,28.0,1.7662975529852098e-16,Brain Natriuretic Peptide  (BNP) (pg/ml)
45,117.0,1.9383088938909813e-16,Proinsulin- Intact (pM)
46,30.0,2.7096054828258485e-16,Complement C3 (C3) (mg/mL)
47,76.0,5.230250301198987e-16,Interleukin-18 (IL-18) (pg/mL)
48,56.0,7.485958955136892e-16,Fetuin-A (ug/ml)
49,122.0,1.063952909275716e-15,Resistin (ng/ml)
50,108.0,1.6483786068327259e-15,Osteopontin (ng/ml)
51,90.0,4.611130060719895e-14,Macrophage Colony-Stimulating Factor 1 ( (ng/mL)
52,65.0,4.89598614767044e-14,Heparin-Binding EGF-Like Growth Factor ( (pg/mL)
53,133.0,1.3010710931319365e-13,Tamm-Horsfall Urinary Glycoprotein (THP) (ug/ml)
54,72.0,1.9259504039275758e-13,Insulin-like Growth Factor-Binding Prote (ng/mL)
55,152.0,2.659323697758828e-13,AB42
56,158.0,3.828328682565481e-13,Citrulline
57,111.0,4.1281041875471305e-13,Pregnancy-Associated Plasma Protein A (P (mIU/mL)
58,110.0,8.806186536542577e-13,Prostatic Acid Phosphatase (PAP) (ng/mL)
59,140.0,9.979931583804993e-13,Thrombopoietin (ng/mL)
60,79.0,1.0871257569071845e-12,Interleukin-8 (IL-8) (pg/mL)
61,164.0,1.1066015828151457e-12,Methionine
62,112.0,1.2177016019495826e-12,Pulmonary and Activation-Regulated Chemo (ng/mL)
63,151.0,1.6404389028531467e-12,AB40
64,80.0,1.8474178101167494e-12,Insulin (uIU/mL)
65,167.0,2.0437929394755725e-12,Proline
66,126.0,2.5896362620128905e-12,Sex Hormone-Binding Globulin (SHBG) (nmol/L)
67,54.0,2.981124305270825e-12,FASLG Receptor (FAS) (ng/mL)
68,171.0,3.0877365633287723e-12,Tyrosine
69,89.0,3.532864824040586e-12,Monocyte Chemotactic Protein 4 (MCP-4) (pg/ml)
70,163.0,3.8181557573011754e-12,Lysine
71,128.0,6.1430167226768995e-12,Sortilin (ng/mL)
72,147.0,8.369149420800281e-12,Vitronectin (ug/ml)
73,103.0,1.1497885260050323e-11,Myeloid Progenitor Inhibitory Factor 1 ( (ng/mL)
74,98.0,1.9615004580049694e-11,Matrix Metalloproteinase-10 (MMP-10) (ng/ml)
75,17.0,2.437463456707468e-11,Apolipoprotein B (Apo B) (ug/ml)
76,144.0,2.5895059645817854e-11,Transthyretin (TTR) (mg/dl)
