,aggR,pval,name
0,21.0,2.881198475117914e-63,Beta-2-Microglobulin (B2M) (ug/mL)
1,42.0,2.0927525629578734e-60,Cystatin-C (ng/ml)
2,59.0,4.630034756959625e-49,Growth-Regulated alpha protein (GRO-alph (pg/mL)
3,118.0,7.499865778783979e-45,T-Cell-Specific Protein RANTES (RANTES) (ng/mL)
4,1.0,4.260693850210663e-43,Alpha-1-Microglobulin (A1Micro) (ug/ml)
5,132.0,2.289650416735692e-42,Tissue Inhibitor of Metalloproteinases 1 (ng/mL)
6,22.0,1.0448363864965995e-41,Brain-Derived Neurotrophic Factor (BDNF) (ng/mL)
7,43.0,1.4605973997910204e-41,Epidermal Growth Factor (EGF) (pg/mL)
8,110.0,3.3297528694298074e-41,Platelet-Derived Growth Factor BB (PDGF- (pg/ml)
9,19.0,4.3947327018630297e-38,Apolipoprotein H (Apo H) (ug/mL)
10,57.0,7.477267856386696e-38,Follicle-Stimulating Hormone (FSH) (mIU/mL)
11,31.0,1.3743151593712625e-37,CD40 Ligand (CD40-L) (ng/mL)
12,170.0,6.427532833523797e-35,Kynurenine
13,103.0,7.250296584352101e-34,Neutrophil Gelatinase-Associated Lipocal (ng/ml)
14,129.0,5.916340938188036e-33,Trefoil Factor 3 (TFF3) (ug/ml)
15,81.0,8.113338523467227e-32,Luteinizing Hormone  (LH) (mIU/mL)
16,45.0,7.99629491519391e-31,Epithelial-Derived Neutrophil-Activating (ng/mL)
17,133.0,2.0901987465599744e-29,Thrombomodulin (TM) (ng/ml)
18,128.0,6.064279648163596e-29,Testosterone- Total (ng/ml)
19,145.0,8.561232626501355e-28,Vitamin K-Dependent Protein S (VKDPS) (ug/ml)
20,106.0,4.8136093758594995e-26,Plasminogen Activator Inhibitor 1 (PAI-1 (ng/mL)
21,64.0,8.478837687918531e-26,Hepatocyte Growth Factor (HGF) (ng/mL)
22,15.0,1.4582393025134157e-25,Apolipoprotein C-I (Apo C-I) (ng/ml)
23,36.0,1.6537758180439564e-25,Clusterin (CLU) (ug/ml)
24,102.0,2.190365011055878e-25,Myoglobin (ng/mL)
25,40.0,5.561735814390934e-25,C-peptide (ng/ml)
26,53.0,2.6680904977492576e-23,Fetuin-A (ug/ml)
27,136.0,2.0301970903764833e-22,Tumor Necrosis Factor Receptor-Like 2 (T (ng/mL)
28,49.0,2.125392428789444e-21,Fatty Acid-Binding Protein- heart  (FABP (ng/mL)
29,120.0,2.3519027265030833e-21,Serum Amyloid P-Component (SAP) (ug/mL)
30,124.0,3.032812900725812e-21,Superoxide Dismutase 1- Soluble (SOD-1) (ng/mL)
31,131.0,1.0384423321229241e-20,Thrombospondin-1 (ng/mL)
32,142.0,2.2953104632711835e-20,Vascular Cell Adhesion Molecule-1 (VCAM- (ng/mL)
33,27.0,2.859528928355572e-20,Complement C3 (C3) (mg/mL)
34,143.0,4.2624063988670584e-20,Vascular Endothelial Growth Factor (VEGF (pg/mL)
35,139.0,5.0015028785663156e-20,Serotransferrin (Transferrin) (mg/dl)
36,159.0,8.43507972654037e-20,Isoleucine
37,119.0,1.8676408795674848e-19,Resistin (ng/ml)
38,121.0,4.879347582023031e-19,Stem Cell Factor (SCF) (pg/mL)
39,11.0,1.0913257205779348e-18,Apolipoprotein A-I (Apo A-I) (mg/mL)
40,114.0,2.2055743540308316e-17,Proinsulin- Intact (pM)
41,115.0,3.2798276576425836e-17,Proinsulin- Total (pM)
42,147.0,3.984581954342488e-17,HCAMPLAS
43,25.0,4.876045163813529e-17,Brain Natriuretic Peptide  (BNP) (pg/ml)
44,30.0,6.451586677296225e-17,CD 40 antigen (CD40) (ng/mL)
45,149.0,7.988341977322e-17,AB42
46,148.0,8.059824846172525e-17,AB40
47,89.0,3.2327781424256494e-16,Macrophage Migration Inhibitory Factor ( (ng/mL)
48,86.0,3.59915470961019e-16,Monocyte Chemotactic Protein 4 (MCP-4) (pg/ml)
49,141.0,4.79023250104289e-16,Transthyretin (TTR) (mg/dl)
50,169.0,6.803806842651264e-16,Valine
51,6.0,1.2429498786445861e-15,Adiponectin (ug/mL)
52,138.0,1.3540932366562644e-15,TNF-Related Apoptosis-Inducing Ligand Re (ng/mL)
53,155.0,2.741294431165563e-15,Citrulline
54,126.0,3.1900084228190116e-15,Thyroxine-Binding Globulin (TBG) (ug/mL)
55,51.0,6.432349642918928e-15,FASLG Receptor (FAS) (ng/mL)
56,144.0,8.55797342395704e-15,Vitronectin (ug/ml)
57,107.0,1.0455554565551838e-14,Prostatic Acid Phosphatase (PAP) (ng/mL)
58,90.0,1.0719277821541656e-14,Monokine Induced by Gamma Interferon (MI (pg/ml)
59,95.0,1.1622426368605809e-14,Matrix Metalloproteinase-10 (MMP-10) (ng/ml)
60,73.0,1.3098379863426929e-14,Interleukin-18 (IL-18) (pg/mL)
61,130.0,1.4915936265761374e-14,Tamm-Horsfall Urinary Glycoprotein (THP) (ug/ml)
62,164.0,1.7121603309876392e-14,Proline
63,14.0,3.7657105397308714e-14,Apolipoprotein B (Apo B) (ug/ml)
64,105.0,3.938741990237321e-14,Osteopontin (ng/ml)
65,16.0,1.0560691113793914e-13,Apolipoprotein C-III (Apo C-III) (ug/mL)
66,77.0,1.4295330799063325e-13,Insulin (uIU/mL)
67,69.0,4.0420466770634914e-13,Insulin-like Growth Factor-Binding Prote (ng/mL)
68,87.0,5.360514010903745e-13,Macrophage Colony-Stimulating Factor 1 ( (ng/mL)
69,137.0,7.253188447700607e-13,Thrombopoietin (ng/mL)
70,163.0,1.3037643431456611e-12,Phenylalanine
71,34.0,4.821364695477263e-12,Chromogranin-A (CgA) (ng/mL)
72,100.0,1.1235544576134127e-11,Myeloid Progenitor Inhibitory Factor 1 ( (ng/mL)
73,109.0,1.1414539519523357e-11,Pulmonary and Activation-Regulated Chemo (ng/mL)
74,18.0,1.4449824034907756e-11,Apolipoprotein E (Apo E) (ug/ml)
75,161.0,1.939952104911236e-11,Methionine
76,17.0,1.94167413954163e-11,Apolipoprotein D (Apo D) (ug/ml)
77,108.0,2.3841238764170532e-11,Pregnancy-Associated Plasma Protein A (P (mIU/mL)
78,72.0,4.2529466792873674e-11,Interleukin-16 (IL-16) (pg/mL)
79,168.0,4.3819125620564495e-11,Tyrosine
80,123.0,5.2841773244030105e-11,Sex Hormone-Binding Globulin (SHBG) (nmol/L)
81,32.0,7.689191559930156e-11,CD5 (CD5L) (ng/ml)
82,23.0,1.5299449342304639e-10,B Lymphocyte Chemoattractant (BLC) (pg/ml)
83,47.0,1.6054377232478035e-10,Eotaxin-3 (pg/mL)
84,78.0,4.85026807470584e-10,Interferon gamma Induced Protein 10 (IP- (pg/ml)
85,84.0,6.747661507184727e-10,Monocyte Chemotactic Protein 2 (MCP-2) (pg/ml)
86,158.0,1.1053167485549592e-09,Glycine
87,9.0,1.1816609572542184e-09,Angiopoietin-2 (ANG-2) (ng/mL)
88,116.0,1.4063749684441167e-09,Peptide YY (PYY) (pg/mL)
89,38.0,1.724157971853646e-09,Complement Factor H (ug/ml)
90,167.0,1.864691007818583e-09,Tryptophan
91,165.0,2.3876550516511684e-09,Serine
92,55.0,3.4416470401633384e-09,Fibrinogen (mg/mL)
93,160.0,4.003394295921878e-09,Lysine
94,125.0,5.327768580884781e-09,Sortilin (ng/mL)
95,62.0,9.232462217279429e-09,Heparin-Binding EGF-Like Growth Factor ( (pg/mL)
96,3.0,1.1105989056834233e-08,Alpha-1-Antichymotrypsin (AACT) (ug/ml)
97,29.0,1.3139890812210766e-08,Calcitonin (pg/mL)
98,157.0,1.3455264307368328e-08,Glutamic Acid
99,20.0,1.9548314309512954e-08,AXL Receptor Tyrosine Kinase (AXL) (ng/mL)
100,8.0,3.259391475777249e-08,Agouti-Related Protein (AGRP) (pg/mL)
101,48.0,6.668795564992435e-08,E-Selectin (ng/mL)
102,156.0,1.3440728494046533e-07,Glutamine
103,41.0,1.5515152186206444e-07,C-Reactive Protein (CRP) (ug/mL)
104,150.0,2.0520654074197933e-07,PLASMA_NFL
105,56.0,2.2631482701992765e-07,Ferritin (FRTN) (ng/mL)
106,44.0,2.782641239209874e-07,Epidermal Growth Factor Receptor (EGFR) (ng/mL)
107,127.0,2.8632352833645353e-07,Thymus-Expressed Chemokine (TECK) (ng/mL)
108,151.0,3.22358894529984e-07,Alanine
109,162.0,4.04055899471433e-07,Ornithine
110,135.0,8.928567923068223e-07,Tumor Necrosis Factor alpha (TNF-alpha) (pg/mL)
111,12.0,9.955491512615222e-07,Apolipoprotein A-II (Apo A-II) (ng/ml)
112,154.0,1.2913289981560317e-06,Aspartic Acid
113,28.0,1.4747524833274678e-06,Cancer Antigen 19-9 (CA-19-9) (U/mL)
114,93.0,2.103853120414565e-06,Macrophage Inflammatory Protein-3 alpha (pg/ml)
115,4.0,2.1477474091422237e-06,Alpha-1-Antitrypsin (AAT) (mg/mL)
116,63.0,3.024580048821152e-06,Chemokine CC-4 (HCC-4) (ng/mL)
117,153.0,3.48267510742684e-06,Asparagine
118,26.0,3.5974703466245687e-06,Betacellulin (BTC) (pg/mL)
119,7.0,3.6755750190816414e-06,Alpha-Fetoprotein (AFP) (ng/mL)
120,80.0,7.574151126172875e-06,Leptin (ng/mL)
121,91.0,9.264950757491766e-06,Macrophage Inflammatory Protein-1 alpha (pg/mL)
122,60.0,1.0090134942007736e-05,Glutathione S-Transferase alpha (GST-alp (ng/ml)
123,85.0,1.132522462948604e-05,Monocyte Chemotactic Protein 3 (MCP-3) (pg/mL)
124,99.0,1.1612001523759593e-05,Matrix Metalloproteinase-9- total (MMP-9 (ng/ml)
125,2.0,1.2405206724997284e-05,Alpha-2-Macroglobulin (A2Macro) (mg/mL)
126,76.0,1.5415705159153258e-05,Interleukin-8 (IL-8) (pg/mL)
127,74.0,1.8014335919940255e-05,Interleukin-3 (IL-3) (ng/mL)
128,10.0,2.0290894094634e-05,Angiotensinogen (ng/mL)
129,58.0,2.05769367613468e-05,Growth Hormone (GH) (ng/mL)
130,35.0,3.631953955200468e-05,Creatine Kinase-MB (CK-MB) (ng/mL)
131,92.0,4.881729559696011e-05,Macrophage Inflammatory Protein-1 beta ( (pg/mL)
132,97.0,5.379286393760437e-05,Matrix Metalloproteinase-7 (MMP-7) (ng/ml)
133,166.0,5.729011143458016e-05,Threonine
134,94.0,8.08393347702798e-05,Matrix Metalloproteinase-1 (MMP-1) (ng/ml)
135,65.0,0.000260572139110625,T Lymphocyte-Secreted Protein I-309 (I-3 (pg/mL)
136,66.0,0.0003119231745070407,Intercellular Adhesion Molecule 1 (ICAM- (ng/mL)
137,54.0,0.0004055628603632477,Fibroblast Growth Factor 4 (FGF-4) (pg/mL)
138,112.0,0.0004831050270597916,Pancreatic Polypeptide (PPP) (pg/ml)
139,134.0,0.0008279598762111877,Tenascin-C (TN-C) (ng/mL)
140,39.0,0.0009341143342581901,Cortisol (Cortisol) (ng/ml)
141,152.0,0.000982643506425459,Arginine
142,117.0,0.0015741501601895913,Receptor for advanced glycosylation end (ng/mL)
143,98.0,0.0021864828931368024,Matrix Metalloproteinase-9 (MMP-9) (ng/mL)
144,82.0,0.002209718088358575,Apolipoprotein(a) (Lp(a)) (ug/mL)
145,68.0,0.003483753304260447,Immunoglobulin E (IgE) (ng/mL)
146,113.0,0.004200380237504285,Prolactin (PRL) (ng/ml)
147,146.0,0.0049553036696619165,von Willebrand Factor (vWF) (ug/mL)
148,171.0,0.013104844967505925,Sarcosine
149,172.0,0.013851985814917976,trans isomer of 4-hydroxyproline 
150,111.0,0.015144404159370774,Placenta Growth Factor (PLGF) (pg/ml)
151,101.0,0.015180691754974815,Myeloperoxidase (MPO) (ng/mL)
152,46.0,0.019152156570936007,Eotaxin-1 (pg/mL)
153,61.0,0.022852702904669907,Haptoglobin (mg/mL)
154,70.0,0.051935396550159246,Immunoglobulin M (IGM) (mg/mL)
155,37.0,0.0640950261728788,Ciliary Neurotrophic Factor (CNTF) (pg/mL)
156,71.0,0.10887783918476086,Interleukin-13 (IL-13) (pg/mL)
157,96.0,0.1281686706251959,Matrix Metalloproteinase-2 (MMP-2) (ng/mL)
158,122.0,0.14593090071444045,Serum Glutamic Oxaloacetic Transaminase (ug/mL)
159,13.0,0.230983867037635,Apolipoprotein A-IV (Apo A-IV) (ug/ml)
160,67.0,0.23850859673927877,Immunoglobulin A (IgA) (mg/mL)
161,104.0,0.3274459359938673,Neuronal Cell Adhesion Molecule (Nr-CAM) (ng/mL)
162,79.0,0.3655505169940965,Kidney Injury Molecule-1  (KIM-1) (ng/ml)
163,52.0,0.4923701857990485,Fas Ligand (FasL) (pg/mL)
164,50.0,0.5212588697325369,Factor VII (ng/mL)
165,83.0,0.5608201017491626,Monocyte Chemotactic Protein 1 (MCP-1) (pg/mL)
166,75.0,0.7484475125247134,Interleukin-6 receptor (IL-6r) (ng/mL)
167,88.0,0.8881557766533029,Macrophage-Derived Chemokine (MDC) (pg/mL)
168,33.0,0.9556609896589678,Carcinoembryonic Antigen (CEA) (ng/mL)
169,24.0,0.9999999992789318,Bone Morphogenetic Protein 6 (BMP-6) (ng/mL)
170,5.0,0.9999999999962395,Angiotensin-Converting Enzyme (ACE) (ng/ml)
171,140.0,1.0,Thyroid-Stimulating Hormone  (TSH) (uIU/mL)
