,aggR,pval,name
0,2.0,2.724619625403542e-29,LHIPPOC
1,13.0,1.1265188960631072e-20,RENTORHIN
2,1.0,2.253101842714236e-17,VENTRICLES
3,12.0,6.074731150888231e-15,LENTORHIN
4,3.0,8.644466756469713e-12,RHIPPOC
5,4.0,5.722917010668037e-10,LINFLATVEN
6,11.0,1.378261613882813e-08,RFUSIFORM
7,10.0,6.152227253236182e-06,LFUSIFORM
8,9.0,6.023074820114701e-05,RINFTEMP
9,5.0,0.00017653935404362842,RINFLATVEN
10,8.0,0.0005208245408431975,LINFTEMP
11,6.0,0.010653882005358767,LMIDTEMP
12,7.0,0.3893412761965201,RMIDTEMP
