,RID
0,2
1,3
2,3
3,3
4,3
5,4
6,4
7,4
8,4
9,5
10,5
11,5
12,5
13,6
14,6
15,6
16,6
17,6
18,6
19,7
20,7
21,7
22,8
23,8
24,10
25,10
26,10
27,10
28,14
29,14
30,14
31,14
32,14
33,15
34,15
35,15
36,15
37,15
38,16
39,16
40,16
41,16
42,19
43,19
44,19
45,21
46,21
47,21
48,22
49,22
50,22
51,22
52,23
53,23
54,23
55,23
56,29
57,29
58,29
59,29
60,30
61,30
62,30
63,30
64,31
65,31
66,31
67,31
68,31
69,35
70,35
71,35
72,35
73,35
74,38
75,38
76,38
77,40
78,40
79,40
80,40
81,40
82,41
83,41
84,41
85,41
86,41
87,41
88,42
89,42
90,42
91,42
92,42
93,42
94,43
95,43
96,43
97,43
98,44
99,44
100,45
101,45
102,47
103,47
104,47
105,47
106,48
107,48
108,48
109,48
110,48
111,50
112,50
113,50
114,50
115,50
116,50
117,51
118,51
119,51
120,51
121,51
122,51
123,53
124,53
125,53
126,53
127,54
128,54
129,54
130,54
131,54
132,56
133,56
134,56
135,57
136,57
137,57
138,57
139,58
140,58
141,58
142,58
143,58
144,59
145,59
146,59
147,60
148,60
149,60
150,61
151,61
152,61
153,61
154,61
155,66
156,66
157,66
158,66
159,66
160,67
161,67
162,67
163,67
164,68
165,68
166,68
167,68
168,68
169,69
170,69
171,69
172,69
173,69
174,70
175,70
176,70
177,72
178,72
179,72
180,72
181,74
182,74
183,74
184,74
185,74
186,76
187,76
188,76
189,77
190,77
191,77
192,77
193,77
194,78
195,78
196,78
197,78
198,80
199,80
200,80
201,81
202,81
203,81
204,81
205,81
206,83
207,83
208,83
209,83
210,84
211,84
212,84
213,84
214,86
215,86
216,86
217,86
218,86
219,87
220,87
221,87
222,87
223,88
224,88
225,88
226,89
227,89
228,89
229,89
230,89
231,90
232,90
233,90
234,90
235,90
236,91
237,91
238,91
239,91
240,93
241,93
242,93
243,94
244,94
245,94
246,94
247,95
248,95
249,95
250,96
251,96
252,96
253,96
254,96
255,97
256,97
257,97
258,97
259,98
260,98
261,98
262,101
263,101
264,101
265,101
266,101
267,101
268,102
269,102
270,102
271,102
272,102
273,103
274,106
275,106
276,106
277,106
278,107
279,107
280,107
281,107
282,107
283,107
284,108
285,108
286,108
287,108
288,108
289,108
290,109
291,109
292,109
293,109
294,110
295,110
296,111
297,111
298,111
299,112
300,112
301,112
302,112
303,112
304,112
305,113
306,113
307,113
308,113
309,116
310,116
311,116
312,116
313,116
314,116
315,118
316,118
317,118
318,118
319,118
320,120
321,120
322,120
323,120
324,120
325,123
326,123
327,123
328,123
329,123
330,125
331,125
332,125
333,125
334,125
335,126
336,126
337,126
338,126
339,126
340,126
341,127
342,127
343,127
344,127
345,127
346,128
347,128
348,128
349,128
350,128
351,128
352,129
353,129
354,129
355,129
356,130
357,130
358,130
359,130
360,130
361,135
362,135
363,135
364,135
365,138
366,138
367,138
368,139
369,139
370,139
371,139
372,141
373,141
374,141
375,141
376,141
377,141
378,142
379,142
380,142
381,142
382,142
383,142
384,147
385,147
386,147
387,147
388,149
389,149
390,149
391,149
392,150
393,150
394,150
395,150
396,150
397,150
398,155
399,155
400,155
401,155
402,155
403,155
404,156
405,156
406,156
407,156
408,156
409,158
410,158
411,158
412,158
413,158
414,158
415,159
416,159
417,159
418,159
419,160
420,160
421,160
422,160
423,160
424,160
425,161
426,161
427,162
428,162
429,162
430,166
431,166
432,166
433,166
434,166
435,167
436,167
437,167
438,168
439,168
440,169
441,169
442,169
443,169
444,169
445,169
446,171
447,171
448,171
449,171
450,171
451,172
452,172
453,172
454,172
455,173
456,173
457,173
458,173
459,173
460,176
461,176
462,176
463,176
464,177
465,177
466,177
467,177
468,178
469,179
470,179
471,179
472,179
473,179
474,179
475,182
476,183
477,183
478,183
479,183
480,184
481,184
482,184
483,184
484,184
485,186
486,186
487,186
488,186
489,186
490,187
491,187
492,187
493,187
494,187
495,188
496,188
497,188
498,188
499,188
500,190
501,190
502,190
503,190
504,190
505,194
506,194
507,194
508,195
509,195
510,195
511,195
512,196
513,196
514,196
515,196
516,196
517,200
518,200
519,200
520,200
521,200
522,204
523,204
524,204
525,204
526,204
527,204
528,205
529,205
530,205
531,205
532,205
533,210
534,210
535,210
536,210
537,210
538,213
539,213
540,213
541,214
542,214
543,214
544,214
545,214
546,214
547,216
548,216
549,216
550,217
551,217
552,217
553,217
554,217
555,217
556,219
557,219
558,221
559,221
560,221
561,221
562,222
563,222
564,222
565,222
566,223
567,223
568,223
569,223
570,223
571,225
572,225
573,225
574,225
575,225
576,227
577,227
578,227
579,227
580,227
581,228
582,229
583,229
